Entity,Code,Year,status
Afghanistan,AFG,2022,Not on track to 70% fully vaccinated
Africa,,2022,Not on track to 70% fully vaccinated
Albania,ALB,2022,Not on track to 70% fully vaccinated
Algeria,DZA,2022,Not on track to 70% fully vaccinated
Andorra,AND,2022,Not on track to 70% fully vaccinated
Angola,AGO,2022,Not on track to 70% fully vaccinated
Anguilla,AIA,2022,Not on track to 70% fully vaccinated
Antigua and Barbuda,ATG,2022,Not on track to 70% fully vaccinated
Argentina,ARG,2022,Already above 70% fully vaccinated
Armenia,ARM,2022,Not on track to 70% fully vaccinated
Aruba,ABW,2022,Already above 70% fully vaccinated
Asia,,2022,On track to 70% fully vaccinated
Australia,AUS,2022,Already above 70% fully vaccinated
Austria,AUT,2022,Already above 70% fully vaccinated
Azerbaijan,AZE,2022,Not on track to 70% fully vaccinated
Bahamas,BHS,2022,Not on track to 70% fully vaccinated
Bahrain,BHR,2022,On track to 70% fully vaccinated
Bangladesh,BGD,2022,On track to 70% fully vaccinated
Barbados,BRB,2022,Not on track to 70% fully vaccinated
Belarus,BLR,2022,On track to 70% fully vaccinated
Belgium,BEL,2022,Already above 70% fully vaccinated
Belize,BLZ,2022,Not on track to 70% fully vaccinated
Benin,BEN,2022,Not on track to 70% fully vaccinated
Bermuda,BMU,2022,Already above 70% fully vaccinated
Bhutan,BTN,2022,Already above 70% fully vaccinated
Bolivia,BOL,2022,Not on track to 70% fully vaccinated
Botswana,BWA,2022,On track to 70% fully vaccinated
Brazil,BRA,2022,Already above 70% fully vaccinated
British Virgin Islands,VGB,2022,Not on track to 70% fully vaccinated
Brunei,BRN,2022,Already above 70% fully vaccinated
Bulgaria,BGR,2022,Not on track to 70% fully vaccinated
Burkina Faso,BFA,2022,Not on track to 70% fully vaccinated
Burundi,BDI,2022,Not on track to 70% fully vaccinated
Cambodia,KHM,2022,Already above 70% fully vaccinated
Cameroon,CMR,2022,Not on track to 70% fully vaccinated
Canada,CAN,2022,Already above 70% fully vaccinated
Cape Verde,CPV,2022,Not on track to 70% fully vaccinated
Cayman Islands,CYM,2022,Already above 70% fully vaccinated
Central African Republic,CAF,2022,Not on track to 70% fully vaccinated
Chad,TCD,2022,Not on track to 70% fully vaccinated
